,derived_neighborhood,not_diverse
0,Alamo Square,0
1,Anza Vista,1
2,Aquatic Park / Ft. Mason,1
3,Ashbury Heights,0
4,Balboa Terrace,1
5,Bayview,1
6,Bernal Heights,0
7,Bret Harte,1
8,Buena Vista,0
9,Castro,0
10,Cathedral Hill,2
11,Cayuga,0
12,Central Waterfront,1
13,Chinatown,2
14,Civic Center,1
15,Clarendon Heights,0
16,Cole Valley,0
17,Corona Heights,0
18,Cow Hollow,2
19,Crocker Amazon,0
20,Diamond Heights,0
21,Dogpatch,1
22,Dolores Heights,0
23,Downtown / Union Square,1
24,Duboce Triangle,0
25,Eureka Valley,0
26,Excelsior,0
27,Fairmount,0
28,Financial District,2
29,Fishermans Wharf,2
30,Forest Hill,0
31,Forest Knolls,2
32,Glen Park,0
33,Golden Gate Heights,0
34,Haight Ashbury,0
35,Hayes Valley,0
36,Holly Park,0
37,Hunters Point,1
38,Ingleside,2
39,Ingleside Terraces,2
40,Inner Richmond,1
41,Inner Sunset,0
42,Japantown,0
43,Laguna Honda,0
44,Lake Street,0
45,Lakeshore,2
46,Laurel Heights / Jordan Park,0
47,Little Hollywood,1
48,Lone Mountain,0
49,Lower Haight,0
50,Lower Nob Hill,0
51,Lower Pacific Heights,0
52,Marina,2
53,Merced Heights,3
54,Merced Manor,1
55,Midtown Terrace,2
56,Mint Hill,0
57,Miraloma Park,1
58,Mission,0
59,Mission Bay,0
60,Mission Dolores,0
61,Mission Terrace,0
62,Monterey Heights,1
63,Mt. Davidson Manor,0
64,Nob Hill,0
65,Noe Valley,0
66,None,1
67,North Beach,1
68,Oceanview,1
69,Outer Mission,0
70,Outer Richmond,1
71,Outer Sunset,0
72,Pacific Heights,1
73,Panhandle,0
74,Parkside,0
75,Parnassus Heights,1
76,Peralta Heights,0
77,Polk Gulch,0
78,Portola,0
79,Potrero Hill,0
80,Presidio Heights,0
81,Presidio National Park,2
82,Presidio Terrace,0
83,Rincon Hill,1
84,Russian Hill,0
85,Seacliff,0
86,Sherwood Forest,0
87,Showplace Square,1
88,Silver Terrace,2
89,South of Market,1
90,St. Francis Wood,0
91,St. Marys Park,0
92,Sunnyside,0
93,Sutro Heights,1
94,Telegraph Hill,1
95,Tenderloin,1
96,Union Street,1
97,University Mound,0
98,Upper Market,0
99,Visitacion Valley,1
100,West Portal,0
101,Western Addition,0
102,Westwood Highlands,2
103,Westwood Park,1
