Density,Diversity,Condition,Vacancies,Sidewalk Damage,Neighborhood
5.0,0.0,6.0,0.0,3.0,Alamo Square
4.0,3.0,6.0,0.0,2.0,Anza Vista
1.0,3.0,1.0,0.0,4.0,Aquatic Park / Ft. Mason
6.0,0.0,4.0,1.0,4.0,Ashbury Heights
3.0,3.0,4.0,2.0,3.0,Balboa Terrace
1.0,3.0,7.0,0.0,3.0,Bayview
5.0,0.0,2.0,1.0,4.0,Bernal Heights
1.0,3.0,8.0,0.0,2.0,Bret Harte
4.0,0.0,4.0,1.0,4.0,Buena Vista
7.0,0.0,1.0,0.0,4.0,Castro
2.0,7.0,7.0,0.0,3.0,Cathedral Hill
3.0,0.0,3.0,3.0,3.0,Cayuga
1.0,3.0,8.0,3.0,1.0,Central Waterfront
1.0,7.0,6.0,0.0,1.0,Chinatown
1.0,3.0,5.0,0.0,1.0,Civic Center
0.0,0.0,1.0,1.0,0.0,Clarendon Heights
6.0,0.0,5.0,0.0,5.0,Cole Valley
4.0,0.0,2.0,1.0,6.0,Corona Heights
0.0,7.0,8.0,0.0,3.0,Cow Hollow
1.0,0.0,3.0,4.0,7.0,Crocker Amazon
2.0,0.0,0.0,3.0,1.0,Diamond Heights
4.0,3.0,7.0,2.0,1.0,Dogpatch
6.0,0.0,2.0,1.0,4.0,Dolores Heights
0.0,3.0,5.0,0.0,0.0,Downtown / Union Square
7.0,0.0,1.0,1.0,4.0,Duboce Triangle
6.0,0.0,0.0,0.0,5.0,Eureka Valley
3.0,0.0,4.0,2.0,7.0,Excelsior
5.0,0.0,3.0,1.0,5.0,Fairmount
0.0,7.0,7.0,0.0,2.0,Financial District
0.0,7.0,3.0,0.0,5.0,Fishermans Wharf
6.0,0.0,2.0,1.0,1.0,Forest Hill
0.0,7.0,4.0,0.0,4.0,Forest Knolls
4.0,0.0,1.0,1.0,4.0,Glen Park
3.0,0.0,5.0,3.0,3.0,Golden Gate Heights
6.0,0.0,6.0,0.0,3.0,Haight Ashbury
